Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月26日 	_x86_64_	(40 CPU)

10时26分03秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
10时27分06秒 254082976 257742844   3815088      1.45     77332   5075688   8302412      3.12   1963524   6363976       240
10时27分07秒 254082140 257742008   3815896      1.45     77332   5075716   8323192      3.13   1963532   6365876        56
10时27分08秒 254081020 257740888   3816644      1.45     77332   5076104   8324032      3.13   1963524   6375520        60
10时27分09秒 254083872 257743748   3813392      1.45     77340   5076488   8331148      3.14   1963536   6378544        60
10时27分10秒 254071936 257731820   3824852      1.45     77340   5076964   8341884      3.14   1963540   6391752        64
10时27分11秒 254070400 257730284   3826148      1.45     77340   5077244   8342272      3.14   1963532   6393732        64
10时27分12秒 254082324 257745488   3810752      1.45     77340   5080628   8321528      3.13   1966768   6359316       220
10时27分13秒 254077844 257741008   3815160      1.45     77340   5080700   8325668      3.13   1966752   6373140        64
10时27分14秒 254081600 257744772   3810656      1.45     77348   5081440   8334320      3.14   1966756   6377408        64
10时27分15秒 254065376 257728548   3826660      1.45     77348   5081636   8349352      3.14   1966780   6395816        64
10时27分16秒 254061136 257724312   3830804      1.45     77348   5081732   8349856      3.14   1966756   6402112        68
10时27分17秒 254072680 257739120   3815896      1.45     77348   5085008   8302004      3.12   1969964   6365776       236
10时27分18秒 254068936 257735376   3819656      1.45     77348   5085008   8329496      3.14   1969972   6375420        68
10时27分19秒 254067816 257734264   3820128      1.45     77356   5085640   8329848      3.14   1969996   6385168        68
10时27分20秒 254056856 257723304   3830856      1.45     77356   5085872   8352724      3.14   1969988   6396904        68
10时27分21秒 254051760 257718208   3835876      1.46     77356   5085948   8352760      3.14   1969984   6404220        68
10时27分22秒 254066920 257736632   3817328      1.45     77356   5089256   8304188      3.13   1973196   6365944       216
10时27分23秒 254069056 257738768   3815288      1.45     77356   5089264   8325764      3.13   1973176   6367116        72
10时27分24秒 254066464 257736176   3817732      1.45     77364   5089404   8326188      3.13   1973192   6378428        72
10时27分25秒 254067536 257737256   3816356      1.45     77364   5089708   8338360      3.14   1973200   6385432        72
10时27分26秒 254046376 257716096   3837456      1.46     77364   5089768   8356728      3.15   1973196   6406604        72
10时27分27秒 254060080 257729800   3823728      1.45     77364   5089800   8305312      3.13   1973196   6370400        48
10时27分28秒 254057880 257730864   3822564      1.45     77364   5093064   8331884      3.14   1976404   6370884       220
10时27分29秒 254059472 257732456   3820860      1.45     77372   5093168   8329004      3.13   1976396   6377912        64
10时27分30秒 254061568 257734528   3818332      1.45     77372   5093664   8338220      3.14   1976420   6384104        64
10时27分31秒 254044008 257716968   3835832      1.46     77372   5093700   8357124      3.15   1976412   6403452        64
10时27分32秒 254040064 257713024   3839744      1.46     77372   5093740   8357460      3.15   1976400   6409300        64
10时27分33秒 254055332 257731552   3821120      1.45     77372   5096996   8313028      3.13   1979612   6369592       196
10时27分34秒 254055736 257731968   3820716      1.45     77380   5096988   8330132      3.14   1979620   6378568       204
10时27分35秒 254074044 257750276   3801864      1.44     77380   5097528   8300596      3.12   1979620   6350808        72
10时27分36秒 254039188 257715420   3836592      1.46     77380   5097652   8358004      3.15   1979624   6404232        72
10时27分37秒 254034156 257710388   3841536      1.46     77380   5097748   8358520      3.15   1979616   6410956        16
10时27分38秒 254053396 257732848   3818944      1.45     77380   5101020   8310536      3.13   1982808   6370244       144
10时27分39秒 254052836 257732300   3819456      1.45     77388   5101036   8330712      3.14   1982804   6375440        56
10时27分40秒 254053444 257732908   3818672      1.45     77388   5101204   8331336      3.14   1982820   6384004        60
10时27分41秒 254055948 257735416   3815984      1.45     77388   5101364   8338904      3.14   1982816   6387864        60
