Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月25日 	_x86_64_	(40 CPU)

15时03分36秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15时04分47秒 218532436 217747044  43997680     16.69     43688    805656  62301816     23.45    220904  43953652       360
15时04分48秒 218532412 217747020  43997668     16.69     43688    805668  62303848     23.45    220892  43953672       360
15时04分49秒 218548556 217763236  43979392     16.68     43688    807816  62259568     23.43    220900  43913396       360
15时04分50秒 218546536 217761216  43981380     16.69     43688    807816  62259568     23.43    220896  43913424       360
15时04分51秒 218547844 217762528  43980128     16.69     43696    807816  62259568     23.43    220912  43913896       364
15时04分52秒 218548992 217763676  43978860     16.68     43696    807816  62259568     23.43    220904  43917620       364
15时04分53秒 218548968 217763652  43978876     16.68     43696    807816  62259568     23.43    220908  43918232       364
15时04分54秒 218549856 217764540  43978016     16.68     43696    807816  62259568     23.43    220904  43918336       364
15时04分55秒 218549588 217764272  43978280     16.68     43696    807816  62259568     23.43    220912  43918396       364
15时04分56秒 218550124 217764808  43977760     16.68     43704    807816  62259960     23.43    220900  43918448        16
15时04分57秒 218538816 217753500  43964868     16.68     43704    832024  62284120     23.44    220900  43943272        16
15时04分58秒 218539108 217753796  43964280     16.68     43704    832368  62284120     23.44    220908  43943800        16
15时04分59秒 218541532 217756220  43961836     16.68     43704    832368  62284120     23.44    220920  43943852        16
15时05分00秒 218541880 217756568  43961488     16.68     43704    832368  62284120     23.44    220912  43943880        16
15时05分01秒 218540432 217755124  43962924     16.68     43712    832368  62284120     23.44    220920  43947144        48
15时05分02秒 218535848 217750540  43967440     16.68     43712    832368  62284120     23.44    220936  43951428       204
15时05分03秒 218531824 217746520  43971460     16.68     43712    832368  62286428     23.44    220936  43953820       204
15时05分04秒 218525996 217740692  43977276     16.68     43712    832368  62294600     23.45    220936  43961020       204
15时05分05秒 218513008 217727704  43990156     16.69     43712    832380  62307768     23.45    220944  43973464       204
15时05分06秒 218510252 217724948  43992920     16.69     43712    832380  62307768     23.45    220936  43973568       204
15时05分07秒 218504716 217719416  43998440     16.69     43720    832380  62314880     23.45    220964  43978728       224
15时05分08秒 218507796 217722504  43995424     16.69     43720    832380  62307768     23.45    220940  43973584       224
15时05分09秒 218507292 217722000  43995928     16.69     43720    832380  62307768     23.45    220952  43973576       224
15时05分10秒 218508204 217722912  43994916     16.69     43720    832380  62307768     23.45    220932  43973596       224
15时05分11秒 218506716 217721424  43996412     16.69     43720    832380  62307768     23.45    220952  43973576       224
15时05分12秒 218507960 217722672  43995160     16.69     43728    832380  62307768     23.45    220956  43973580       216
15时05分13秒 218506448 217721160  43996672     16.69     43728    832380  62307768     23.45    220960  43973576       220
15时05分14秒 218507936 217722648  43995160     16.69     43728    832380  62307768     23.45    220956  43973580       220
15时05分15秒 218508188 217722900  43994900     16.69     43728    832380  62307768     23.45    220964  43973572       220
15时05分16秒 218506668 217721380  43996412     16.69     43728    832380  62307768     23.45    220956  43973580       220
15时05分17秒 218506472 217721188  43996640     16.69     43736    832380  62307768     23.45    220968  43973576       228
15时05分18秒 218507236 217721952  43995888     16.69     43736    832384  62307768     23.45    220964  43973928       232
15时05分19秒 218506724 217721440  43996392     16.69     43736    832384  62308352     23.45    220972  43973592       232
15时05分20秒 218505692 217720408  43996376     16.69     43736    833416  62308808     23.45    220964  43974544       232
15时05分21秒 218507424 217722140  43994620     16.69     43736    833424  62308808     23.45    220972  43974536       232
15时05分22秒 218507236 217721956  43994968     16.69     43744    833424  62308808     23.45    220972  43974568       232
15时05分23秒 218507544 217722264  43994696     16.69     43744    833424  62308808     23.45    220968  43974640       232
15时05分24秒 218508780 217723500  43993460     16.69     43744    833424  62308808     23.45    220968  43974640       232
15时05分25秒 218507756 217722476  43994456     16.69     43744    833424  62308808     23.45    220980  43974640       232
15时05分26秒 218506512 217721232  43995700     16.69     43744    833424  62308808     23.45    220968  43974720       232
15时05分27秒 218506496 217721220  43995700     16.69     43752    833424  62308808     23.45    220988  43974708       232
15时05分28秒 218504748 217719472  43997416     16.69     43752    833456  62309032     23.45    220976  43976028       232
15时05分29秒 218443512 217658368  44056628     16.71     43752    835472  62372720     23.48    220988  44040380       232
